timestamp,machine_id,node,vibX,vibY,vibZ,courant,rpm,pression,label,label_source
2026-04-16T10:03:05.029000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:05.528000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:06.034000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.1,0.91,0.0,0.0,,normal,threshold
2026-04-16T10:03:08.086000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:08.086000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:08.087000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:08.087000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:08.569000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:09.212000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:09.820000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:10.199000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:10.658000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:11.064000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:11.568000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:12.068000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:12.694000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.13,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:13.309000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.12,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:13.579000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.13,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:14.127000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:14.583000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.04,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:15.152000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:15.715000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.88,0.0,0.0,,normal,threshold
2026-04-16T10:03:16.089000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.12,0.89,0.0,0.0,,normal,threshold
2026-04-16T10:03:16.598000+00:00,ESP32-NODE-01,ESP32-NODE-01,-0.03,0.13,0.89,0.0,0.0,,normal,threshold
